"Paper","Journal.(1)/non-journal(0)","Study.design","Predator.species","Protected.assets","Category.of.intervention","Type.of.intervention","Intervention.details","Country","Damage.metric","Relative.risk.RR"
"Khorozyan et al. 2017",1,"control-impact","leopard","sheep/goats","husbandry","herding","presence of shepherds","Iran","No. killed/attack",0.670270270270272
"Khorozyan et al. 2017",1,"control-impact","leopard","sheep/goats","husbandry","guarding animals","guarding dogs","Iran","No. killed/attack",0.509803921568627
"Khorozyan et al. 2020",1,"RCT","leopard","cattle","aversion","physical deterrent","protective collar","Iran","No. killed/period",0
"Kirilyuk and Ke 2020",1,"control-impact","gray wolf","cattle","husbandry","herding","herding","Russia","No. killed",0
"Kirilyuk and Ke 2020",1,"control-impact","gray wolf","sheep","husbandry","herding","herding","Russia","No. killed",0
"Kissui et al. 2019",1,"RCT","leopard","cattle, sheep/goats and donkeys","husbandry","enclosure","fortified boma","Tanzania","No. successes/attack",0
"Kissui et al. 2019",1,"RCT","spotted hyena","cattle, sheep/goats and donkeys","husbandry","enclosure","fortified boma","Tanzania","No. successes/attack",0.930232558139535
"Kissui et al. 2019",1,"RCT","black-backed jackal","cattle, sheep/goats and donkeys","husbandry","enclosure","fortified boma","Tanzania","No. successes/attack",1
"Kissui et al. 2019",1,"RCT","cheetah","cattle, sheep/goats and donkeys","husbandry","enclosure","fortified boma","Tanzania","No. successes/attack",0
"Knarrum et al. 2006",1,"control-impact","brown bear","sheep","aversion","acoustic deterrent","bell collar","Norway","No. killed",2.55639097744361
"Kobashikawa et al. 2019",1,"control-impact","Asiatic black bear","tree plantations","aversion","physical deterrent","trunk netting","Japan","No. damage records",0
"Kolowski and Holekamp 2006",1,"control-impact","spotted hyena","sheep/goats","husbandry","enclosure","fortified boma (pole)","Kenya","% enclosures",0.358974358974359
"Kolowski and Holekamp 2006",1,"control-impact","spotted hyena","sheep/goats","husbandry","enclosure","fortified boma (bush)","Kenya","% enclosures",2.03421052631579
"Kolowski and Holekamp 2006",1,"control-impact","leopard","sheep/goats","husbandry","enclosure","fortified boma (pole)","Kenya","% enclosures",2.3858024691358
"Kolowski and Holekamp 2006",1,"control-impact","leopard","sheep/goats","husbandry","enclosure","fortified boma (bush)","Kenya","% enclosures",0.413479052823315
"Krogstad et al. 2000",0,"BACI","brown bear","sheep","husbandry","herding","herding","Norway","No. compensated",0.0115417968060533
"Kuiper et al. 2015",1,"control-impact","lion","cattle","husbandry","herding","herding","Zimbabwe","mean No. killed",1.03926701570681
"Kuksin and Kuksina 2009",0,"before-after","snow leopard","sheep/goats","husbandry","enclosure","covering of openings by wire mesh","Russia","No. killed",0
"Kunkel et al. 2016",0,"before-after","snow leopard","livestock in general","non-invasive management","capacity building","insurance","India","No. predators killed",0
"Lance et al. 2010",1,"RCT","gray wolf","cattle, sheep, llama and horses","husbandry","electric fence + visual deterrent","electrified fladry","USA","No. days inside/outside livestock areas",0
"Landa and Tømmerås 1996",1,"RCT","wolverine","sheep (lamb)","aversion","chemical deterrent","polyethylene dispensers with chemical agents on sheep wool","Norway","% killed",0.458557811852466
"Landa et al. 1998",1,"before-after","wolverine","sheep (lamb)","aversion","chemical deterrent","polyethylene dispensers with chemical agents on sheep wool","Norway","No. killed",1.60914018109536
"Landa et al. 1998",1,"before-after","wolverine","sheep (ewe)","aversion","chemical deterrent","polyethylene dispensers with chemical agents on sheep wool","Norway","No. killed",0.721760237311642
"Landa et al. 1999",1,"control-impact","wolverine","sheep (Dala replaced by Rygja)","non-invasive management","breed replacement","breed replacement","Norway","No. killed",0.629368521138192
"Landa et al. 1999",1,"control-impact","wolverine","sheep (Dala replaced by Norwegian short-tailed)","non-invasive management","breed replacement","breed replacement","Norway","No. killed",0.724908963084967
"Landa et al. 1999",1,"control-impact","wolverine","sheep (Dala replaced by Norwegian fur-bearing)","non-invasive management","breed replacement","breed replacement","Norway","No. killed",0.466184234977755
"Landriault et al. 2006",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","Canada","No. returning",1
"Landriault et al. 2009",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","Canada","No. predators resuming damage infliction",0.300813008130081
"Landriault et al. 2009",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","Canada","proportion of returning individuals",0.471414141414141
"Landry and Raydelet 2010",0,"before-after","Eurasian lynx","sheep","husbandry","guarding animals","guarding dogs","France","No. killed",0.140625
"Landry and Raydelet 2010",0,"before-after","domestic dog","sheep","husbandry","guarding animals","guarding dogs","France","No. killed",0.128571428571429
"Landry and Raydelet 2010",0,"before-after","gray wolf","sheep","husbandry","guarding animals","guarding dogs","France","No. killed",0.142857142857143
"LeFlore et al. 2020",1,"before-after","lion","cattle, goats, horses and donkeys","husbandry + invasive management + non-invasive management","mixed","enclosure + geofence + education","Botswana","No. killed",0.520751051914081
"LeFlore et al. 2020",1,"before-after","predators in general","cattle, goats, horses and donkeys","husbandry + invasive management + non-invasive management","mixed","enclosure + geofence + education","Botswana","financial losses in USD",0.484536082474227
"Leigh 2007",0,"before-after","American black bear","neighborhood safety","aversion","mixed deterrents","rubber bullets + noise","USA","No. returning",1
"Leigh 2007",0,"before-after","American black bear","neighborhood safety","aversion","mixed deterrents","rubber bullets + noise + dogs","USA","No. returning",0.833333333333333
"Lesilau et al. 2018",1,"before-after","lion","cattle and sheep/goats","aversion","visual deterrent","flash light","Kenya","No. attacks/boma",0.0380434782608696
"Levin 2000",0,"control-impact","brown bear","beehive","husbandry","electric fence","electric fence","Sweden","probability of damage",0
"Lichtenfeld et al. 2015",1,"before-after","lion, leopard, spotted hyena and black-backed jackal","livestock in general","husbandry","enclosure","fortified boma","Tanzania","No. attacks/month",0.112428634167765
"Lichtenfeld et al. 2015",1,"before-after","lion","livestock in general","husbandry","enclosure","fortified boma","Tanzania","No. predators killed",0
"Lichtenfeld et al. 2015",1,"before-after","leopard","livestock in general","husbandry","enclosure","fortified boma","Tanzania","No. predators killed",0
"Lichtenfeld et al. 2015",1,"BACI","lion, leopard, spotted hyena and black-backed jackal","livestock in general","husbandry","enclosure","fortified boma","Tanzania","No. attacks/boma-month",0.113511541332879
"Linhart 1984",0,"before-after","coyote","sheep","aversion","acoustic deterrent + visual deterrent","siren + strobe light","USA","% killed",0.305
"Linhart et al. 1979",1,"before-after","coyote","sheep","husbandry","guarding animals","guarding dogs","USA","No. killed/day",0.568364389233954
"Linhart et al. 1982",1,"control-impact","coyote","sheep","husbandry","electric fence","electric fence","USA","No. killed",0.258620689655172
"Linhart et al. 1984",1,"before-after","coyote","sheep","aversion","acoustic deterrent + visual deterrent","siren + strobe light","USA","No. killed",0.291428571428571
"Linhart et al. 1992",0,"before-after","coyote","sheep","aversion","acoustic deterrent + visual deterrent","siren + strobe light","USA","% losses",0.546429799795068
"Louis et al. 2020",1,"crossover","coyote","sheep/goats","aversion","chemical deterrent","red wolf scats","USA","% nights with coyote camera-trap pictures",1.03571428571429
"Loveridge et al. 2017",1,"control-impact","lion","cattle","aversion","acoustic deterrent","bell collar","Zimbabwe","No. killed",1.97743355701075
"Loveridge et al. 2017",1,"control-impact","spotted hyena","cattle","aversion","acoustic deterrent","bell collar","Zimbabwe","No. killed",4.74056245337765
"Lyamuya et al. 2016",1,"RCT","African wild dog, spotted hyena, lion and leopard","cattle and sheep/goats","husbandry","herding","herding","Tanzania","No. herders that experienced attacks",0.170289855072464
"MacArthur 1981",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. predators resuming damage infliction and returning",0.611764705882353
"Macdonald and Baker 2004",1,"before-after","red fox","captive","aversion","chemical deterrent","Bitrex","UK","milk consumption rate in s/hr",0.0135591102224444
"Maclennan et al. 2009",1,"before-after","lion","cattle, sheep/goats and donkeys","non-invasive management","capacity building","compensation from compensation fund","Kenya","No. predators killed/year",0.8125
"Mahoney and Charry 2005",1,"RCT","red fox","sheep","husbandry","guarding animals","alpaca","Australia","% died",0.637033833478444
"Makkay et al. 2010",0,"BACI","American black bear","neighborhood safety","non-invasive management","food/garbage isolation","bear-proof bins","USA","No. camera-trap pictures/day",0.0897435897435897
"Manoa and Mwaura 2016",1,"control-impact","lion","sheep/goat","husbandry","enclosure","fortified boma","Kenya","% killed",0.08
"Manoa and Mwaura 2016",1,"control-impact","lion","cattle","husbandry","enclosure","fortified boma","Kenya","% killed",0.147058823529412
"Manoa and Mwaura 2016",1,"control-impact","lion","donkey","husbandry","enclosure","fortified boma","Kenya","% killed",0
"Manoa and Mwaura 2016",1,"control-impact","spotted hyena","sheep/goat","husbandry","enclosure","fortified boma","Kenya","% killed",0.108108108108108
"Manoa and Mwaura 2016",1,"control-impact","spotted hyena","cattle","husbandry","enclosure","fortified boma","Kenya","% killed",0.0625
"Manoa and Mwaura 2016",1,"control-impact","spotted hyena","donkey","husbandry","enclosure","fortified boma","Kenya","% killed",0
"Manoa and Mwaura 2016",1,"control-impact","cheetah","sheep/goat","husbandry","enclosure","fortified boma","Kenya","% killed",0
"Manoa and Mwaura 2016",1,"control-impact","leopard","sheep/goat","husbandry","enclosure","fortified boma","Kenya","% killed",0
"Manoa and Mwaura 2016",1,"control-impact","leopard","cattle","husbandry","enclosure","fortified boma","Kenya","% killed",0
"Martin and O'Brien 2000",0,"BACI","coyote","sheep","aversion","chemical deterrent","bone oil = Renardine","Canada","No. killed",0.2667194092827
"Massei et al. 2003",1,"BACI","red fox","captive","aversion","chemical deterrent","thiabendazole","UK","proportion of food consumed",0.397058823529412
"Massei et al. 2003",1,"BACI","red fox","captive","aversion","chemical deterrent","levamisole","UK","proportion of food consumed",0.157894736842105
"Massopust and Anderson 1984",0,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. returning",0.707142857142857
"Matchett et al. 2013",1,"before-after","coyote","black-footed ferret","husbandry","electric fence","electric fence","USA","% sightings inside/outside",0.119453924914676
"Mattiello et al. 2012",1,"control-impact","gray wolf","sheep/goats","husbandry","enclosure","enclosure","Italy","% households with chronic predation",0.687693259121831
"Mattiello et al. 2012",1,"control-impact","gray wolf","sheep/goats","husbandry","guarding animals","guarding dogs","Italy","% households with chronic predation",2.63
"Mazur 2010",1,"before-after","American black bear","neighborhood safety","aversion","physical deterrent","chasing","USA","% returning",2
"Mazur 2010",1,"before-after","American black bear","neighborhood safety","aversion","physical deterrent","rocks + slingshots","USA","% returning",1.33333333333333
"Mazur 2010",1,"before-after","American black bear","neighborhood safety","aversion","physical deterrent","rubber bullets","USA","% returning",0.54
"Mazur 2010",1,"before-after","American black bear","neighborhood safety","aversion","chemical deterrent","pepper spray","USA","% returning",1.27777777777778
"Mazzolli et al. 2002",1,"control-impact","puma","sheep","husbandry","enclosure","enclosure (night)","Brazil","No. killed",0.107202867704716
"Mazzolli et al. 2002",1,"control-impact","puma","swine","husbandry","enclosure","enclosure (night)","Brazil","No. killed",3.13888888888889
"McManus et al. 2015",1,"before-after","black-backed jackal and caracal","livestock in general","husbandry","guarding animals","guarding dogs","South Africa","% killed/year",0.195854824844187
"McManus et al. 2015",1,"before-after","black-backed jackal and caracal","livestock in general","husbandry","guarding animals","alpaca","South Africa","% killed/year",0.324444444444444
"McManus et al. 2015",1,"before-after","black-backed jackal, caracal and leopard","livestock in general","aversion","physical deterrent","protective collar","South Africa","% killed/year",0.318416933859376
"Meadows and Knowlton 2000",1,"control-impact","American black bear","sheep","husbandry","guarding animals","llama","USA","No. killed",0
"Meadows and Knowlton 2000",1,"control-impact","puma","sheep","husbandry","guarding animals","llama","USA","No. killed",2.95016611295681
"Meadows and Knowlton 2000",1,"control-impact","domestic dog","sheep","husbandry","guarding animals","llama","USA","No. killed",2.43388704318937
"Meadows and Knowlton 2000",1,"control-impact","red fox","sheep","husbandry","guarding animals","llama","USA","No. killed",0.737541528239203
"Meadows and Knowlton 2000",1,"control-impact","coyote","sheep","husbandry","guarding animals","llama","USA","No. killed",0.361127846728521
"Meadows and Knowlton 2000",1,"control-impact","coyote, fox and domestic dog","sheep (ewe)","husbandry","guarding animals","llama","USA","proportion of flock killed",0.652173913043478
"Meadows and Knowlton 2000",1,"control-impact","coyote, fox and domestic dog","sheep (lamb)","husbandry","guarding animals","llama","USA","proportion of flock killed",0.780701754385965
"Mertens et al. 2002",0,"control-impact","gray wolf and brown bear","sheep","husbandry","electric fence","electric fence","Romania","No. killed",0.0191554571769113
"Mijiddorj et al. 2018",1,"control-impact","gray wolf","sheep/goats, horses and camels","husbandry","enclosure + herding","enclosure + herding","Mongolia","No. killed",0.236186348862405
"Mijiddorj et al. 2018",1,"control-impact","snow leopard","sheep/goats, horses and camels","husbandry","enclosure + herding","enclosure + herding","Mongolia","No. killed",0.374207188160676
"Miller 1987",1,"before-after","polar bear","neighborhood safety","aversion","chemical deterrent","commercial dog + household chemicals","Canada","No. returning",0.925925925925926
"Miller 1987",1,"before-after","polar bear","neighborhood safety","aversion","acoustic deterrent","noise","Canada","No. returning",0.545454545454545
"Miller 1987",1,"before-after","polar bear","neighborhood safety","aversion","acoustic deterrent","freon horn","Canada","No. returning",0.666666666666667
"Miller and Ballard 1982",1,"before-after","brown bear","neighborhood safety","invasive management","translocation","translocation","USA","No. returning",0.6
"Miller et al. 2011",0,"before-after","tiger","cattle and horses","invasive management","translocation","translocation","Russia","No. predators resuming damage infliction",0
"Miller et al. 2014",1,"control-impact","coyote","neighborhood safety","aversion","chemical deterrent","Ropel animal repellent","USA","% predators with allured behavior",1.06573957016435
"Milligan et al. 2018",1,"before-after","brown bear","neighborhood safety, livestock in general, beehives and crops","invasive management","translocation","translocation","Canada","No. failures",0.7
"Mishra et al. 2003",1,"before-after","snow leopard","livestock in general","non-invasive management","capacity building","insurance","India","No. predators killed",0
"Mishra et al. 2003",1,"before-after","snow leopard","livestock in general","non-invasive management","capacity building","handcrafts from wool - Snow Leopard Enterprises","Mongolia","No. predators killed",0
"Mohammad et al. 2016",0,"control-impact","snow leopard","livestock in general","husbandry","enclosure","wire mesh roof","Tajikistan","No. predators killed",0
"Mohammad et al. 2016",0,"before-after","snow leopard","livestock in general","husbandry","enclosure","thick walls and wire mesh roof","Afghanistan","No. predators killed",0
"Mohammad et al. 2016",0,"before-after","snow leopard","livestock in general","husbandry","enclosure","thick walls and wire mesh roof","India","No. predators killed",0
"Mohammad et al. 2016",0,"BACI","snow leopard","livestock in general","husbandry","enclosure","covering of openings by wire mesh","Pakistan","No. predators killed",0
"Montalvo et al. 2016",1,"control-impact","puma and jaguar","cattle","husbandry","enclosure + herding","enclosure + herding","Costa Rica","% depredation events",0.492307692307692
"Morehouse and Boyce 2017",1,"before-after","brown bear","cattle","non-invasive management","supplemental feeding","supplemental feeding by carrion","Canada","No. incidents",2.71875
"Mukesh et al. 2015",1,"before-after","Asiatic black bear","crops","invasive management","translocation","translocation","India","No. returning",0.636363636363636
"Musiani et al. 2003",1,"before-after","gray wolf","cattle","aversion","visual deterrent","fladry","Canada","No. killed",0
"Musiani and Visalberghi 2001",1,"control-impact","gray wolf","captive","aversion","visual deterrent","fladry","Italy","% occasions",0.381578947368421
"Naha et al. 2020",1,"control-impact","leopard","cattle and goats","aversion","visual deterrent","flash light","India","No. killed",0.933729619565217
"Nass and Threade 1988",1,"before-after","predators in general","sheep","husbandry","electric fence","electric fence","USA","No. killed",0.106060606060606
"National Project Steering Committee 2014",0,"before-after","dingo","sheep","lethal control","poisoning","baiting (poison)","Australia","No. killed/year",0.223414477898783
"Nolte et al. 2002",0,"BACI","American black bear","tree plantations","non-invasive management","supplemental feeding","supplemental feeding by feed pellets","USA","No. damage records/year",0.0387008181545642
"Nuninger et al. 2017",0,"control-impact","gray wolf","bait (beef, chicken)","aversion","acoustic deterrent ","ultrasound mole repeller","Russia","No. feeding events/min",0.253998118532455
"Nuninger et al. 2017",0,"control-impact","gray wolf","bait (beef, chicken)","aversion","visual deterrent","hanging aluminum sheets","Russia","No. feeding events/min",0.234578627280626
"Nuninger et al. 2017",0,"control-impact","gray wolf","bait (beef, chicken)","aversion","chemical deterrent","deodorant","Russia","No. feeding events/min",1.70886075949367
"Nuninger et al. 2017",0,"control-impact","gray wolf","bait (beef, chicken)","aversion","acoustic deterrent ","movement-activated ultrasound garden protector","Russia","No. feeding events/min",0.128571428571429
"Nuninger et al. 2017",0,"control-impact","gray wolf","bait (beef, chicken)","aversion","acoustic deterrent ","radio","Russia","No. feeding events/min",0.0740131578947368
"Nuninger et al. 2017",0,"control-impact","gray wolf","bait (beef, chicken)","aversion","chemical deterrent + visual deterrent","burnt sheep wool + red flash light","Russia","No. feeding events/min",0.176470588235294
"Ogada et al. 2003",1,"control-impact","predators in general","sheep/goats","husbandry","enclosure","fortified boma","Kenya","No. killed/month",0.297619047619048
"Ogada et al. 2003",1,"control-impact","predators in general","cattle","husbandry","guarding animals","guarding dogs","Kenya","No. killed/month",0.107142857142857
"Ogada et al. 2003",1,"control-impact","lion","cattle and sheep/goats","husbandry","enclosure","fortified boma","Kenya","proportion of bomas attacked",0.638297872340426
"Ohrens et al. 2019",1,"crossover","puma","llama and alpaca","aversion","visual deterrent","flash light","Chile","No. attacks",0
"Ohrens et al. 2019",1,"crossover","Andean fox","llama and alpaca","aversion","visual deterrent","flash light","Chile","No. attacks",1.66666666666667
"Okemwa et al. 2018",1,"BACI","lion, spotted hyena, leopard and cheetah","cattle","aversion","visual deterrent","LED flash light near bomas","Kenya","No. attacks/6 months",0.352941176470588
"Okemwa et al. 2018",1,"BACI","lion, spotted hyena, leopard and cheetah","cattle","aversion","visual deterrent","LED flash light near bomas","Kenya","No. killed/6 months",0.24124513618677
"Otstavel et al. 2009",1,"before-after","gray wolf","cattle, sheep and horses","husbandry","guarding animals","guarding dogs","Finland","No. killed",0
"Otstavel et al. 2009",1,"before-after","Eurasian lynx","sheep","husbandry","guarding animals","guarding dogs","Finland","No. killed",0
"Otto and Roloff 2015",1,"control-impact","American black bear","beehive","husbandry","electric fence","electric fence (mobile), design A","USA","No. damage records",0.0576923076923077
"Otto and Roloff 2015",1,"control-impact","American black bear","beehive","husbandry","electric fence","electric fence (mobile), design B","USA","No. damage records",0
"Otto and Roloff 2015",1,"control-impact","American black bear","beehive","husbandry","electric fence","electric fence (mobile), design C","USA","No. damage records",0.0625
"Otto and Roloff 2015",1,"control-impact","American black bear","beehive","husbandry","electric fence","electric fence (mobile), design D","USA","No. damage records",0
"Pacioni et al. 2018",1,"before-after","dingo","sheep/goats","lethal control","poisoning, trapping and shooting","baiting (poison), trapping and shooting","Australia","predator density",0.545454545454545
"Palmer et al. 2010",1,"control-impact","coyote, puma and American black bear","sheep","husbandry","guarding animals","guarding dogs","USA","No. killed",0.762101915082454
"Palmer et al. 2010",1,"control-impact","coyote, puma and American black bear","sheep","husbandry","herding","herding","USA","No. killed",0.526442856434729
"Papworth et al. 2014",1,"before-after","brown bear","sheep/goats","husbandry","enclosure","enclosure","China","No. killed",0.0185185185185185
"Peebles et al. 2013",1,"before-after","puma","cattle, sheep/goats, llama, alpaca, swine and horses","lethal control","shooting","preventive hunting","USA","No. killed",0.985714285714286
"Peirce and Van Daele 2006",1,"control-impact","brown bear","neighborhood safety","non-invasive management","food/garbage isolation","food/garbage removal","USA","No. returning",0.432908492052127
"Petracca et al. 2019",1,"before-after","lion","cattle, sheep/goats and donkeys","aversion","physical deterrent","chasing","Zimbabwe","No. returning",0.444444444444444
"Petracca et al. 2019",1,"before-after","lion","cattle, sheep/goats and donkeys","aversion","physical deterrent","chasing","Zimbabwe","No. predators resuming damage infliction",0.75
"Pfeifer and Goos 1982",0,"before-after","coyote","sheep","husbandry","guarding animals","guarding dogs","USA","No. killed/year",0.0718390804597701
"Pfeifer and Goos 1982",0,"before-after","coyote","sheep","aversion","visual deterrent","gas exploder","USA","No. killed/day",0
"Pimenta et al. 2017",1,"control-impact","gray wolf","cattle","husbandry","enclosure","enclosure","Portugal","No. attacks/year",0.311755233494364
"Poole and McKillop 2002",1,"control-impact","red fox","captive","husbandry","electric fence","electrified strained-wire fence","UK","No. predators that crossed the fence",0
"Poole and McKillop 2002",1,"control-impact","red fox","captive","husbandry","electric fence","electrified netting fence","UK","No. predators that crossed the fence",0
"Potgieter et al. 2016",1,"before-after","cheetah","sheep/goats","husbandry","guarding animals","guarding dogs","Namibia","% farms reporting kills",0.397435897435897
"Potgieter et al. 2016",1,"before-after","leopard","sheep/goats","husbandry","guarding animals","guarding dogs","Namibia","% farms reporting kills",0.3125
"Potgieter et al. 2016",1,"before-after","caracal","sheep/goats","husbandry","guarding animals","guarding dogs","Namibia","% farms reporting kills",0.261363636363636
"Potgieter et al. 2016",1,"before-after","black-backed jackal","sheep/goats","husbandry","guarding animals","guarding dogs","Namibia","% farms reporting kills",0.398496240601504
"Potgieter et al. 2016",1,"before-after","cheetah","sheep/goats","husbandry","guarding animals","guarding dogs","Namibia","No. predators killed",0
"Potgieter et al. 2016",1,"before-after","leopard","sheep/goats","husbandry","guarding animals","guarding dogs","Namibia","No. predators killed",0
"Potgieter et al. 2016",1,"before-after","caracal","sheep/goats","husbandry","guarding animals","guarding dogs","Namibia","No. predators killed",0.5
"Potgieter et al. 2016",1,"before-after","black-backed jackal","sheep/goats","husbandry","guarding animals","guarding dogs","Namibia","No. predators killed",0.705882352941177
"Poudyal et al. 2016",1,"before-after","gray wolf","cattle","lethal control","shooting","shooting","USA","No. killed",0.981
"Poudyal et al. 2016",1,"before-after","gray wolf","sheep","lethal control","shooting","shooting","USA","No. killed",0.966
"Quigley et al. 2015",1,"before-after","jaguar","cattle","husbandry","electric fence","electric fence","Costa Rica","No. killed",0
"Quigley et al. 2015",1,"before-after","jaguar","cattle","husbandry","electric fence","electric fence","Venezuela","No. killed",0
"Quigley et al. 2015",1,"before-after","jaguar","cattle","husbandry","guarding animals + enclosure","guarding donkeys + enclosure (night)","Belize","No. killed",0
"Quigley et al. 2015",1,"before-after","jaguar","cattle","husbandry","enclosure","enclosure (night)","Brazil","No. depredation events (kills)",0.166666666666667
"Quigley et al. 2015",1,"before-after","jaguar","cattle","husbandry","guarding animals","water buffalo or Creole cattle breeds","Costa Rica, Columbia and Brazil","No. killed",0
"Rabinowitz 1986",1,"before-after","jaguar","cattle","invasive management","translocation","translocation","Belize","No. predators resuming damage infliction",1
"Radford et al. 2020",1,"RCT","lion","cattle","aversion","visual deterrent","artificial eyespots on rump","Botswana","No. killed",0
"Radford et al. 2020",1,"RCT","leopard","cattle","aversion","visual deterrent","artificial eyespots on rump","Botswana","No. killed",0
"Radford et al. 2020",1,"RCT","spotted hyena","cattle","aversion","visual deterrent","artificial eyespots on rump","Botswana","No. killed",1.00878477306003
"Rauer et al. 2003",1,"before-after","brown bear","neighborhood safety","aversion","mixed deterrents","rubber bullets + cracker shells + fireworks + warning shots","Austria","No. returning",0.857142857142857
"Ribeiro and Petrucci-Fonseca 2005",0,"before-after","gray wolf","sheep/goats","husbandry","guarding animals","guarding dogs","Portugal","No. killed",0.625
"Rigg 2004",0,"control-impact","gray wolf","sheep/goats","husbandry","guarding animals","guarding dogs","Slovakia","mean No. killed",0.205882352941176
"Rigg 2004",0,"control-impact","brown bear","sheep/goats","husbandry","guarding animals","guarding dogs","Slovakia","mean No. killed",0.444444444444444
"Rigg et al. 2011",1,"control-impact","gray wolf","sheep","husbandry","enclosure","enclosure (night)","Slovakia","No. killed",0.25
"Rigg et al. 2011",1,"control-impact","brown bear","sheep","husbandry","enclosure","enclosure (night)","Slovakia","No. killed",0.04
"Riley et al. 1994",1,"before-after","brown bear","livestock in general","invasive management","translocation","translocation","USA","No. predators resuming damage infliction",0.695652173913043
"Riley et al. 1994",1,"before-after","brown bear","neighborhood safety","invasive management","translocation","translocation","USA","No. predators resuming damage infliction",0.441860465116279
"Riley et al. 1994",1,"before-after","brown bear","beehive","invasive management","translocation","translocation","USA","No. predators resuming damage infliction",1
"Robel et al. 1981",1,"control-impact","coyote","sheep","non-invasive management","breeding control","breeding control","USA","% killed/month",1.47368421052632
"Robel et al. 1981",1,"control-impact","coyote","sheep","non-invasive management","food/garbage isolation","carcass disposal","USA","% killed/month",0.706572769953052
"Robel et al. 1981",1,"control-impact","coyote","sheep","husbandry","guarding animals","guarding dogs","USA","% killed/month",1.82222222222222
"Robel et al. 1981",1,"control-impact","coyote","sheep","husbandry","enclosure","enclosure (night)","USA","% killed/month",0.655339805825243
"Robel et al. 1981",1,"control-impact","coyote","sheep","husbandry","enclosure","enclosure","USA","% killed/month",0.0922330097087379
"Robel et al. 1981",1,"control-impact","domestic dog","sheep","non-invasive management","breeding control","breeding control","USA","% killed/month",2.26666666666667
"Robel et al. 1981",1,"control-impact","domestic dog","sheep","husbandry","guarding animals","guarding dogs","USA","% killed/month",0.151515151515152
"Robel et al. 1981",1,"control-impact","domestic dog","sheep","husbandry","enclosure","enclosure (night)","USA","% killed/month",0.143884892086331
"Robel et al. 1981",1,"control-impact","domestic dog","sheep","husbandry","enclosure","enclosure","USA","% killed/month",0.0431654676258993
"Rogers 1984",1,"before-after","American black bear","neighborhood safety","aversion","chemical deterrent","capsaicin","USA","No. returning",0.2
"Rogers 1986",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. returning",0.456369047619048
"Rogers 2011",1,"before-after","American black bear","neighborhood safety","non-invasive management","supplemental feeding","supplemental feeding by feed pellets","USA","No. nuisance animals/year",0.125
"Rosas-Rosas and Valdez 2010",1,"before-after","jaguar","cattle","non-invasive management","capacity building","compensation from trophy hunting of prey","Mexico","No. predators killed",0
"Ross and Jalkotzy 1996",0,"before-after","puma","sheep/goats","invasive management","translocation","translocation","Canada","No. predators resuming damage infliction",0.333333333333333
"Rossler et al. 2012",1,"BACI","gray wolf","bait (deer)","invasive management","shock collar","shock collar","USA","No. visits/day",0.250909090909091
"Rust et al. 2013",1,"before-after","cheetah","cattle","husbandry","guarding animals","guarding dogs","South Africa","No. killed",0
"Rust et al. 2013",1,"before-after","cheetah","sheep","husbandry","guarding animals","guarding dogs","South Africa","No. killed",0.00155183116076971
"Rust et al. 2013",1,"before-after","cheetah","goats","husbandry","guarding animals","guarding dogs","South Africa","No. killed",0.00326663944467129
"Rust et al. 2013",1,"before-after","cheetah","sheep/goats","husbandry","guarding animals","guarding dogs","South Africa","No. killed",0
"Rust et al. 2013",1,"before-after","cheetah","sheep/goats","husbandry","guarding animals","guarding dogs","South Africa","% losses/farm",0.00574712643678161
"Sagør et al. 1997",1,"before-after","brown bear","sheep","lethal control","shooting","shooting","Norway","% killed",1.34174311926606
"Saitone and Bruno 2020",1,"before-after","coyote","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","% killed/year",0.584745762711864
"Saitone and Bruno 2020",1,"before-after","coyote","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","% killed/year",0.71875
"Salkina 2000",0,"before-after","tiger","cattle, goats, swine and horses","aversion","acoustic deterrent","air shots","Russia","No. returning",1.33333333333333
"Salkina 2000",0,"before-after","tiger","cattle, goats, swine and horses","aversion","acoustic deterrent + visual deterrent","light + rockets","Russia","No. returning",0.0416666666666667
"Salkina 2000",0,"before-after","tiger","cattle, goats, swine and horses","aversion","chemical deterrent","LiCl or pepper","Russia","No. returning",0
"Salvatori and Mertens 2012",1,"before-after","gray wolf","livestock in general","husbandry","electric fence","electric fence","Portugal","No. attacks/year",0
"Salvatori and Mertens 2012",1,"before-after","gray wolf","livestock in general","husbandry","guarding animals","guarding dogs","Portugal","No. killed/year",0.576576576576577
"Salvatori and Mertens 2012",1,"before-after","gray wolf","livestock in general","husbandry","electric fence","electric fence","Spain","No. killed",0.01
"Salvatori and Mertens 2012",1,"before-after","gray wolf","livestock in general","husbandry","guarding animals","guarding dogs","Spain","No. killed",0.350993377483444
"Salvatori and Mertens 2012",1,"before-after","gray wolf","livestock in general","husbandry","electric fence","electric fence","Italy","No. killed",0.422
